Modelday,DOE,Sample,chl,chl,chl,clo,clo,clo,cos,cos,cos,pan,pan,pan,sce,sce,sce,sel,sel,sel,sta,sta,sta,tet,tet,tet,chl,clo,chl,clo,chl,clo,chl,cos,chl,cos,chl,cos,chl,pan,chl,pan,chl,pan,chl,sce,chl,sce,chl,sce,chl,sel,chl,sel,chl,sel,chl,sta,chl,sta,chl,sta,chl,tet,chl,tet,chl,tet,clo,cos,clo,cos,clo,cos,clo,pan,clo,pan,clo,pan,clo,sce,clo,sce,clo,sce,clo,sel,clo,sel,clo,sel,clo,sta,clo,sta,clo,sta,clo,tet,clo,tet,clo,tet,cos,pan,cos,pan,cos,pan,cos,sce,cos,sce,cos,sce,cos,sel,cos,sel,cos,sel,cos,sta,cos,sta,cos,sta,cos,tet,cos,tet,cos,tet,pan,sce,pan,sce,pan,sce,pan,sel,pan,sel,pan,sel,pan,sta,pan,sta,pan,sta,pan,tet,pan,tet,pan,tet,sce,sel,sce,sel,sce,sel,sce,sta,sce,sta,sce,sta,sce,tet,sce,tet,sce,tet,sel,sta,sel,sta,sel,sta,sel,tet,sel,tet,sel,tet,sta,tet,sta,tet,sta,tet,,,,,,,,
1,4,P1,20431,44840,12394,1227,733,927,138,118,178,1105,2236,1388,1156,945,938,1941,1017,462,157,612,553,316,356,236,6999,255,7097,357,5791,243,29030,46,26034,25,25240,49,12928,97,8778,197,4479,398,11387,927,9419,265,7035,664,24614,849,15198,1126,10468,849,12463,191,10427,145,6210,94,15941,1378,15157,689,7993,213,474,59,553,198,277,20,475,297,514,257,573,316,376,614,335,532,349,175,355,1163,355,2050,456,1408,692,178,375,237,672,237,554,337,532,454,773,456,39,292,75,243,59,137,39,472,119,395,59,511,158,909,119,968,138,788,59,218,39,310,76,418,78,98,59,158,79,59,1326,530,1726,1195,796,1327,299,2195,399,1596,299,3286,158,119,197,157,99,159,198,158,178,158,178,178,496,596,100,598,100,499,455,198,218,198,672,257,731,296,672,257,415,415,7017,178,543,97,533,138,3676,198,2508,235,2982,316,277,158,178,59,178,296,,,,,,,,
2,6,P2,38542,106857,97671,10922,8152,7505,156,395,296,1290,2182,1662,4169,3226,3452,5273,1388,3585,1284,2956,1280,672,574,515,78022,5802,66550,8213,51446,4720,68235,124,71224,383,199839,0,44623,284,72679,274,40422,851,46398,2829,99718,7366,31363,2543,50940,2252,77905,4816,56773,4937,51001,448,27558,645,36322,445,58825,784,55911,818,56528,276,3206,458,6133,438,4414,469,1721,633,5400,534,2316,554,5289,4623,6196,4776,4711,1420,5584,3871,6987,3623,7031,1278,2640,866,2207,349,4024,820,4054,618,3773,389,3017,509,235,313,352,273,113,301,313,2621,188,2555,153,2300,196,1766,511,2829,156,3365,99,336,198,613,296,534,274,39,351,117,79,59,1534,2492,971,388,1194,1990,193,3095,397,2381,596,6554,336,1580,573,948,435,751,451,97,294,163,518,274,3578,8946,3972,5958,3774,11917,2782,744,3907,625,3456,893,3434,294,3136,294,3659,327,3835,356,8756,774,3818,1167,3592,533,3654,336,3997,513,930,257,437,359,647,255,,,,,,,,
3,8,P3,255812,516044,309437,33475,45526,48121,690,1078,1252,4362,2777,5851,37569,36208,29728,74269,58433,9020,1079,1854,1404,1206,1163,711,827748,15849,558353,35477,343888,17510,259612,282,185679,282,414772,191,484759,334,582856,0,328095,0,170347,30363,334032,22955,188145,19008,267066,23530,454959,23573,289446,29738,61547,1794,53523,1888,64945,850,564180,0,611587,275,576794,0,16810,511,45528,130,24912,387,4474,2109,18974,774,3982,1285,18879,41723,29512,26262,26815,19870,22938,7080,13168,4926,19702,3075,11230,1097,9810,387,18905,965,3757,653,3878,504,2947,388,78,389,312,195,156,780,192,14062,128,15276,256,13870,390,3852,293,8631,146,8469,217,2271,279,1993,514,1660,361,427,621,457,262,361,2536,5636,3510,3803,2249,8713,1488,3969,850,2266,1695,10737,730,2142,1024,5169,1221,3322,691,415,1645,555,909,534,24314,28628,32176,20656,19008,48879,7130,770,7313,870,8452,635,3799,357,2813,327,3219,543,5357,1699,16236,2465,6925,1839,5056,553,3674,277,3849,493,3206,923,1703,633,3169,1170,,,,,,,,
4,10,P4,268635,577827,459906,191325,186262,39885,1206,891,1010,11813,12543,18321,75311,55052,60880,153673,137259,76473,1418,2431,1978,2313,1280,1248,671566,31605,472041,79001,777199,33015,591101,465,569102,575,1141274,289,1667531,1589,1379357,1979,1348446,3172,343147,27844,251445,16894,370598,20785,436100,28288,804625,33788,642331,40443,57196,1212,33029,1785,33365,1726,1976086,1174,2931143,784,2565967,790,45783,378,124698,283,40308,378,3364,9167,27675,6512,4407,9895,61577,51251,137607,64888,118787,58259,29738,6884,13876,3870,16649,3951,102421,3493,82439,3626,101506,5746,3086,910,3328,515,2945,376,850,1982,925,2044,853,2558,184,77458,472,100250,91,82474,384,24507,958,28058,282,37437,359,2675,229,2718,689,3480,575,767,1165,970,767,1087,10706,5948,6275,4706,5562,8507,7254,3627,5466,3037,7865,12780,1981,4219,897,5830,1423,5370,2680,1084,3563,1743,3673,1866,85493,41962,56864,32942,44396,48718,11670,1535,11446,1524,8352,723,3800,970,2473,633,5079,977,8738,1326,25039,2465,9075,1474,6276,1165,6214,981,3610,981,8087,1100,5625,1087,6325,1678,,,,,,,,
5,12,P5,378050,799459,586930,180316,491868,39645,1617,1320,1530,24853,24980,29454,27974,52116,40738,176475,361736,195299,1602,1384,2210,2040,1291,1918,923146,59062,667927,84560,1166747,38024,1045865,474,1762995,572,1596158,378,1779571,1177,1596918,1583,1400570,2328,358833,28707,317597,23790,288243,19216,418443,27452,1465756,24204,1141444,41772,57582,1227,36113,1119,46275,323,2145233,1569,2620224,0,3477699,776,132539,623,321454,450,122974,541,4342,29641,22278,23222,4720,30207,61625,105262,263048,174427,152345,76689,15603,3218,13359,3771,34368,7397,184136,5594,111742,1851,165203,3444,2324,473,3377,731,3296,612,1020,1530,1403,1212,854,3842,1053,130808,661,169915,755,146410,577,115809,1061,47304,850,160852,276,3325,376,2890,612,4263,1214,895,1819,941,1342,1534,34099,5155,42665,3555,33306,9913,30079,1187,26023,5892,24252,12126,1699,7457,2588,8503,1790,6021,12069,1549,11185,1790,13998,2301,62355,33334,85578,44144,47452,45884,13204,967,15079,1602,18239,852,3645,1280,3936,945,3990,1292,7411,2915,19500,2462,8022,1997,6023,1922,11185,2429,7164,1033,10866,1406,9022,1383,13549,2290,,,,,,,,
6,14,P6,368132,943014,1037390,399511,723498,33995,2467,2982,1522,20632,20941,29368,35456,55092,45357,791700,1148398,629006,1481,1390,985,2333,1768,1851,869449,51257,685752,191981,1112260,44106,1522567,1042,1634434,287,174406,750,1568744,2353,1605497,1569,1486614,1964,442626,29483,380641,21808,339451,26323,1314226,30507,2120795,47934,1985987,48150,60823,578,60193,446,87229,324,3858653,784,3113508,1164,3563553,786,158183,323,422198,553,149917,690,1794,31340,23505,41251,4547,66219,78457,123829,224755,212249,112677,77280,26526,4909,8451,3578,12701,2931,234656,3884,141821,2298,194175,2549,3325,1095,3744,1182,3583,506,1888,2832,2420,2688,1038,6985,376,161599,785,174336,383,179263,2394,241165,1145,98851,1628,531007,391,3789,695,2780,701,4791,2194,1807,2748,1726,1776,1243,35558,5861,64233,4362,16079,9020,81379,4741,65819,15464,42426,22997,1807,10584,2454,11894,1296,6614,29641,4153,24719,6655,42101,3304,162750,42354,144457,43931,83532,61178,22854,1101,2657,1289,18433,809,14190,1406,7907,1084,4474,831,6974,3605,21691,4007,13678,4155,15785,2335,14921,1913,6805,1260,11058,2812,11539,1689,13005,2447,,,,,,,,
8,18,P8,541786,1098818,1520434,539552,594558,26526,2821,2757,1721,29305,56454,23639,54820,50002,42547,1745538,1977701,2008018,1851,1085,1760,3688,2792,2911,1289615,191406,923910,332118,1952519,52570,1812361,281,1404428,380,2158552,570,2851043,787,2883067,793,3682938,392,517034,31431,475322,22955,398542,20184,2568215,59333,2930227,21297,4328513,95204,137741,128,92455,513,137113,1410,3149808,1566,2671939,786,3368639,1149,483313,566,535721,1232,326368,378,2947,28644,20301,25281,4263,31073,88333,153520,238167,203135,301045,281996,23033,5569,13230,22399,9226,2460,341627,3352,265830,1149,296266,2672,3443,900,7042,978,6466,584,2634,2822,2158,3057,1317,7901,587,248224,663,176679,189,264028,1421,506164,1699,455371,1141,877150,731,5364,433,5055,341,3755,1153,1794,2933,2742,2417,2608,52455,23899,111608,3958,42746,26275,49211,3845,110050,9232,47580,40443,4909,10950,6136,18879,4059,13310,39978,10137,16367,5738,30220,8716,430992,94905,632048,62532,426286,70198,33204,470,35367,921,34631,737,3558,374,5809,452,11853,961,69665,13404,150984,11341,216169,12177,15518,584,21694,4107,10978,683,9423,3872,12911,3707,15774,4314,,,,,,,,
10,22,P10,698053,1366687,1820947,719571,835006,11868,3811,4460,6439,57519,75667,73340,57106,50548,44810,1128724,1077625,1164578,1408,859,1768,1918,2145,3055,1325137,368552,783892,743242,1687759,86001,1589625,668,1680842,668,1639914,280,3149603,1583,2726141,0,2714306,783,622370,40393,614973,31324,513588,28576,3033896,40797,2768888,26082,3320644,99147,98852,619,75329,1133,111807,570,2966792,0,2574182,392,3131407,792,361923,568,636129,481,561877,189,2681,41464,34665,23749,3605,38263,254374,625500,330290,554872,495047,424514,24708,7304,7149,4327,8842,2322,1009410,4926,911351,3762,203843,1538,3196,2557,3707,959,1658,446,2011,11587,3843,7780,1881,18436,540,241967,283,224382,382,233864,1322,561945,1331,510809,0,946200,233,6923,428,6739,543,6942,1598,4922,2270,2748,1474,3652,50682,212157,72159,19216,34099,119347,84695,3958,83140,9804,49805,56864,3767,19068,2999,13532,3527,13186,17633,5275,18640,9535,20623,8672,790874,46753,707862,36472,723668,76619,36780,433,45079,580,42665,195,15489,968,69794,1035,271288,1724,132061,12460,212582,10384,344913,14348,55686,2726,133081,10093,52216,2411,13876,4720,14277,4705,13714,5052,,,,,,,,
12,26,P12,463212,1189444,1779681,1245062,1171129,73448,706,3602,4148,78307,71501,84149,98468,100787,76219,1419795,1100387,934270,2138,2628,1584,878,1367,820,1730224,452563,1071422,743778,2013843,96956,1809937,447,1553859,192,1859036,257,2484920,387,3552767,1177,2904361,786,781107,63044,601189,40584,535480,32849,2344806,54194,2780445,28042,3278239,101857,226888,947,130165,379,143680,1197,2680586,1179,2081725,396,2828953,786,499439,0,792974,0,1065044,772,16375,81013,193943,23639,4036,34599,283988,451900,406830,618330,439342,492667,39754,5840,6775,2621,6909,1739,938577,7995,1109886,2738,207782,1042,20107,1510,6136,944,8245,192,876,13725,2851,9953,2882,28822,367,243595,271,261015,189,194741,1386,550398,763,569789,958,811373,431,7562,704,9116,703,8555,1353,7682,5766,7535,1999,9457,19251,393276,95818,182326,16108,473424,63139,3137,56700,21015,51846,213321,4056,16418,2742,15367,3204,14929,17863,17403,20623,8672,16248,8766,661363,27359,621317,25376,663547,31766,41862,625,46723,575,56739,582,285331,2245,621268,4163,991666,2974,254508,14915,474574,14159,630275,10950,635223,3735,621157,9576,670305,1699,10416,5435,8799,3882,10351,5693,,,,,,,,
14,30,P14,576540,1410058,1997829,1349011,1171129,65979,7524,3672,2149,34273,114986,82846,80394,85856,96256,1664801,1023227,1233358,1288,8972,1646,1073,,1170,1801464,525899,977438,637007,1803833,105434,1750559,319,1488226,390,1686728,323,2312305,392,2896792,1190,2682619,0,705792,66156,721980,56472,515856,53825,2223450,40262,2416296,24212,2544377,71943,284444,188,151318,850,239953,564,2432770,1572,1932795,1174,2203214,1569,629004,188,859419,288,883074,958,85714,52378,367757,15311,13926,55419,296249,638165,486230,954446,476077,581653,34587,13377,10133,38530,4242,1365,1004962,1129,1058465,1341,170137,812,223025,7021,10976,499,8544,255,1846,9522,3559,8338,3023,19114,271,218069,266,225245,189,189184,560,554205,1149,666802,575,771523,430,10094,430,7032,117,5562,2731,9459,6192,8867,1662,10943,14930,351238,36864,294910,15687,375697,52846,17224,102109,102109,42354,518838,4142,16787,4066,10455,3235,11710,31049,14413,9303,13455,37105,9660,570703,21372,580202,27308,546165,28496,58104,230,48082,645,70907,194,860973,2487,474477,1628,829875,1431,326948,11779,636147,10950,627256,9723,1041865,3198,608038,10868,1113414,2969,9874,6454,11058,8309,15657,10998,,,,,,,,
