Modelday,DOE,Sample,chl,chl,chl,clo,clo,clo,cos,cos,cos,pan,pan,pan,sce,sce,sce,sel,sel,sel,sta,sta,sta,tet,tet,tet,chl,clo,chl,clo,chl,clo,chl,cos,chl,cos,chl,cos,chl,pan,chl,pan,chl,pan,chl,sce,chl,sce,chl,sce,chl,sel,chl,sel,chl,sel,chl,sta,chl,sta,chl,sta,chl,tet,chl,tet,chl,tet,clo,cos,clo,cos,clo,cos,clo,pan,clo,pan,clo,pan,clo,sce,clo,sce,clo,sce,clo,sel,clo,sel,clo,sel,clo,sta,clo,sta,clo,sta,clo,tet,clo,tet,clo,tet,cos,pan,cos,pan,cos,pan,cos,sce,cos,sce,cos,sce,cos,sel,cos,sel,cos,sel,cos,sta,cos,sta,cos,sta,cos,tet,cos,tet,cos,tet,pan,sce,pan,sce,pan,sce,pan,sel,pan,sel,pan,sel,pan,sta,pan,sta,pan,sta,pan,tet,pan,tet,pan,tet,sce,sel,sce,sel,sce,sel,sce,sta,sce,sta,sce,sta,sce,tet,sce,tet,sce,tet,sel,sta,sel,sta,sel,sta,sel,tet,sel,tet,sel,tet,sta,tet,sta,tet,sta,tet
1,4,P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3677,199,2509,236,2983,317,,,,,,
2,6,P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3593,534,3655,337,3998,514,,,,,,
3,8,P3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5057,554,3675,278,3850,494,,,,,,
4,10,P4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6277,1166,6215,982,3611,982,,,,,,
5,12,P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6024,1923,11186,2430,7165,1034,,,,,,
6,14,P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15786,2336,14922,1914,6806,1261,,,,,,
7,16,P7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2843,1806,29419,2480,16722,1139,,,,,,
8,18,P8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15519,585,21695,4108,10979,684,,,,,,
9,20,P9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12461,3588,60898,5698,17040,1290,,,,,,
10,22,P10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55687,2727,133082,10094,52217,2412,,,,,,
