Modelday,DOE,Sample,chl,chl,chl,clo,clo,clo,cos,cos,cos,pan,pan,pan,sce,sce,sce,sel,sel,sel,sta,sta,sta,tet,tet,tet
1,4,P1,20431,44840,12394,1227,733,927,138,118,178,1105,2236,1388,1156,945,938,1941,1017,462,157,612,553,316,356,236
2,6,P2,38542,106857,97671,10922,8152,7505,156,395,296,1290,2182,1662,4169,3226,3452,5273,1388,3585,1284,2956,1280,672,574,515
3,8,P3,255812,516044,309437,33475,45526,48121,690,1078,1252,4362,2777,5851,37569,36208,29728,74269,58433,9020,1079,1854,1404,1206,1163,711
4,10,P4,268635,577827,459906,191325,186262,39885,1206,891,1010,11813,12543,18321,75311,55052,60880,153673,137259,76473,1418,2431,1978,2313,1280,1248
5,12,P5,378050,799459,586930,180316,491868,39645,1617,1320,1530,24853,24980,29454,27974,52116,40738,176475,361736,195299,1602,1384,2210,2040,1291,1918
6,14,P6,368132,943014,1037390,399511,723498,33995,2467,2982,1522,20632,20941,29368,35456,55092,45357,791700,1148398,629006,1481,1390,985,2333,1768,1851
7,16,P7,539024,1185934,1291800,455070,604733,30016,1540,1033,2119,6478,12779,39251,72956,70052,72163,1430320,1988138,1486482,1801,813,1688,2773,1764,2333
8,18,P8,541786,1098818,1520434,539552,594558,26526,2821,2757,1721,29305,56454,23639,54820,50002,42547,1745538,1977701,2008018,1851,1085,1760,3688,2792,2911
9,20,P9,549550,1208116,1523386,612306,576712,,3158,4128,2716,61570,85424,72930,71370,77176,61968,1918076,1953460,1802462,1854,1658,2457,1857,1674,1864
10,22,P10,698053,1366687,1820947,719571,835006,11868,3811,4460,6439,57519,75667,73340,57106,50548,44810,1128724,1077625,1164578,1408,859,1768,1918,2145,3055
11,24,P11,671090,1345724,1977381,883403,848720,69713,3224,4342,6439,46384,97969,47242,77791,58970,59585,1662601,1803398,1403956,1730,1342,1422,1945,1410,1344
12,26,P12,463212,1189444,1779681,1245062,1171129,73448,706,3602,4148,78307,71501,84149,98468,100787,76219,1419795,1100387,934270,2138,2628,1584,878,1367,820
13,28,P13,832912,1682427,2144689,1177357,1215043,66505,1191,4872,6792,38970,115603,61293,60553,75474,72163,1672396,1598463,1770689,1701,3252,941,1787,992,75
14,30,P14,576540,1410058,1997829,1349011,1171129,65979,7524,3672,2149,34273,114986,82846,80394,85856,96256,1664801,1023227,1233358,1288,8972,1646,1073,,1170
16,34,P15,783012,1623393,2078352,1097302,1174562,53338,1255,4309,3948,65548,110116,62896,68629,81830,76081,1495335,978177,1187783,1528,15349,1714,286,,973
18,38,P16,1010616,1830443,2203589,1048049,1283018,41751,1596,4348,3430,83920,99170,111781,80541,88816,73727,2732895,1522658,1328556,1558,21172,2002,584,,1121
20,42,P17,1157286,1770200,2041664,1068282,1266662,32463,1938,3187,3955,109032,163097,152405,72159,77791,57282,2645200,2365437,2031840,1891,25843,1682,815,,194
22,46,P18,1439255,1883379,2039849,1628230,2493551,30181,20588,7797,455,72163,150591,90527,70198,63923,75920,2794159,1952764,1346492,2166,26964,2291,729,,320
