Modelday,DOE,Sample,chl,chl,chl,clo,clo,clo,cos,cos,cos,pan,pan,pan,sce,sce,sce,sel,sel,sel,sta,sta,sta,tet,tet,tet,chl,clo,chl,clo,chl,clo,chl,cos,chl,cos,chl,cos,chl,pan,chl,pan,chl,pan,chl,sce,chl,sce,chl,sce,chl,sel,chl,sel,chl,sel,chl,sta,chl,sta,chl,sta,chl,tet,chl,tet,chl,tet,clo,cos,clo,cos,clo,cos,clo,pan,clo,pan,clo,pan,clo,sce,clo,sce,clo,sce,clo,sel,clo,sel,clo,sel,clo,sta,clo,sta,clo,sta,clo,tet,clo,tet,clo,tet,cos,pan,cos,pan,cos,pan,cos,sce,cos,sce,cos,sce,cos,sel,cos,sel,cos,sel,cos,sta,cos,sta,cos,sta,cos,tet,cos,tet,cos,tet,pan,sce,pan,sce,pan,sce,pan,sel,pan,sel,pan,sel,pan,sta,pan,sta,pan,sta,pan,tet,pan,tet,pan,tet,sce,sel,sce,sel,sce,sel,sce,sta,sce,sta,sce,sta,sce,tet,sce,tet,sce,tet,sel,sta,sel,sta,sel,sta,sel,tet,sel,tet,sel,tet,sta,tet,sta,tet,sta,tet
1,4,P1,20432,44841,12395,1228,734,928,139,119,179,1106,2237,1389,1157,946,939,1942,1018,463,158,613,554,317,357,237,7000,256,7098,358,5792,244,29031,47,26035,26,25241,50,12929,98,8779,198,4480,399,11388,928,9420,266,7036,665,24615,850,15199,1127,10469,850,12464,192,10428,146,6211,95,15942,1379,15158,690,7994,214,475,60,554,199,278,21,476,298,515,258,574,317,377,615,336,533,350,176,356,1164,356,2051,457,1409,693,179,376,238,673,238,555,338,533,455,774,457,40,293,76,244,60,138,40,473,120,396,60,512,159,910,120,969,139,789,60,219,40,311,77,419,79,99,60,159,80,60,1327,531,1727,1196,797,1328,300,2196,400,1597,300,3287,159,120,198,158,100,160,199,159,179,159,179,179,497,597,101,599,101,500,456,199,219,199,673,258,732,297,673,258,416,416,7018,179,544,98,534,139,3677,199,2509,236,2983,317,278,159,179,60,179,297
2,6,P2,38543,106858,97672,10923,8153,7506,157,396,297,1291,2183,1663,4170,3227,3453,5274,1389,3586,1285,2957,1281,673,575,516,78023,5803,66551,8214,51447,4721,68236,125,71225,384,199840,1,44624,285,72680,275,40423,852,46399,2830,99719,7367,31364,2544,50941,2253,77906,4817,56774,4938,51002,449,27559,646,36323,446,58826,785,55912,819,56529,277,3207,459,6134,439,4415,470,1722,634,5401,535,2317,555,5290,4624,6197,4777,4712,1421,5585,3872,6988,3624,7032,1279,2641,867,2208,350,4025,821,4055,619,3774,390,3018,510,236,314,353,274,114,302,314,2622,189,2556,154,2301,197,1767,512,2830,157,3366,100,337,199,614,297,535,275,40,352,118,80,60,1535,2493,972,389,1195,1991,194,3096,398,2382,597,6555,337,1581,574,949,436,752,452,98,295,164,519,275,3579,8947,3973,5959,3775,11918,2783,745,3908,626,3457,894,3435,295,3137,295,3660,328,3836,357,8757,775,3819,1168,3593,534,3655,337,3998,514,931,258,438,360,648,256
3,8,P3,255813,516045,309438,33476,45527,48122,691,1079,1253,4363,2778,5852,37570,36209,29729,74270,58434,9021,1080,1855,1405,1207,1164,712,827749,15850,558354,35478,343889,17511,259613,283,185680,283,414773,192,484760,335,582857,1,328096,1,170348,30364,334033,22956,188146,19009,267067,23531,454960,23574,289447,29739,61548,1795,53524,1889,64946,851,564181,1,611588,276,576795,1,16811,512,45529,131,24913,388,4475,2110,18975,775,3983,1286,18880,41724,29513,26263,26816,19871,22939,7081,13169,4927,19703,3076,11231,1098,9811,388,18906,966,3758,654,3879,505,2948,389,79,390,313,196,157,781,193,14063,129,15277,257,13871,391,3853,294,8632,147,8470,218,2272,280,1994,515,1661,362,428,622,458,263,362,2537,5637,3511,3804,2250,8714,1489,3970,851,2267,1696,10738,731,2143,1025,5170,1222,3323,692,416,1646,556,910,535,24315,28629,32177,20657,19009,48880,7131,771,7314,871,8453,636,3800,358,2814,328,3220,544,5358,1700,16237,2466,6926,1840,5057,554,3675,278,3850,494,3207,924,1704,634,3170,1171
4,10,P4,268636,577828,459907,191326,186263,39886,1207,892,1011,11814,12544,18322,75312,55053,60881,153674,137260,76474,1419,2432,1979,2314,1281,1249,671567,31606,472042,79002,777200,33016,591102,466,569103,576,1141275,290,1667532,1590,1379358,1980,1348447,3173,343148,27845,251446,16895,370599,20786,436101,28289,804626,33789,642332,40444,57197,1213,33030,1786,33366,1727,1976087,1175,2931144,785,2565968,791,45784,379,124699,284,40309,379,3365,9168,27676,6513,4408,9896,61578,51252,137608,64889,118788,58260,29739,6885,13877,3871,16650,3952,102422,3494,82440,3627,101507,5747,3087,911,3329,516,2946,377,851,1983,926,2045,854,2559,185,77459,473,100251,92,82475,385,24508,959,28059,283,37438,360,2676,230,2719,690,3481,576,768,1166,971,768,1088,10707,5949,6276,4707,5563,8508,7255,3628,5467,3038,7866,12781,1982,4220,898,5831,1424,5371,2681,1085,3564,1744,3674,1867,85494,41963,56865,32943,44397,48719,11671,1536,11447,1525,8353,724,3801,971,2474,634,5080,978,8739,1327,25040,2466,9076,1475,6277,1166,6215,982,3611,982,8088,1101,5626,1088,6326,1679
5,12,P5,378051,799460,586931,180317,491869,39646,1618,1321,1531,24854,24981,29455,27975,52117,40739,176476,361737,195300,1603,1385,2211,2041,1292,1919,923147,59063,667928,84561,1166748,38025,1045866,475,1762996,573,1596159,379,1779572,1178,1596919,1584,1400571,2329,358834,28708,317598,23791,288244,19217,418444,27453,1465757,24205,1141445,41773,57583,1228,36114,1120,46276,324,2145234,1570,2620225,1,3477700,777,132540,624,321455,451,122975,542,4343,29642,22279,23223,4721,30208,61626,105263,263049,174428,152346,76690,15604,3219,13360,3772,34369,7398,184137,5595,111743,1852,165204,3445,2325,474,3378,732,3297,613,1021,1531,1404,1213,855,3843,1054,130809,662,169916,756,146411,578,115810,1062,47305,851,160853,277,3326,377,2891,613,4264,1215,896,1820,942,1343,1535,34100,5156,42666,3556,33307,9914,30080,1188,26024,5893,24253,12127,1700,7458,2589,8504,1791,6022,12070,1550,11186,1791,13999,2302,62356,33335,85579,44145,47453,45885,13205,968,15080,1603,18240,853,3646,1281,3937,946,3991,1293,7412,2916,19501,2463,8023,1998,6024,1923,11186,2430,7165,1034,10867,1407,9023,1384,13550,2291
6,14,P6,368133,943015,1037391,399512,723499,33996,2468,2983,1523,20633,20942,29369,35457,55093,45358,791701,1148399,629007,1482,1391,986,2334,1769,1852,869450,51258,685753,191982,1112261,44107,1522568,1043,1634435,288,174407,751,1568745,2354,1605498,1570,1486615,1965,442627,29484,380642,21809,339452,26324,1314227,30508,2120796,47935,1985988,48151,60824,579,60194,447,87230,325,3858654,785,3113509,1165,3563554,787,158184,324,422199,554,149918,691,1795,31341,23506,41252,4548,66220,78458,123830,224756,212250,112678,77281,26527,4910,8452,3579,12702,2932,234657,3885,141822,2299,194176,2550,3326,1096,3745,1183,3584,507,1889,2833,2421,2689,1039,6986,377,161600,786,174337,384,179264,2395,241166,1146,98852,1629,531008,392,3790,696,2781,702,4792,2195,1808,2749,1727,1777,1244,35559,5862,64234,4363,16080,9021,81380,4742,65820,15465,42427,22998,1808,10585,2455,11895,1297,6615,29642,4154,24720,6656,42102,3305,162751,42355,144458,43932,83533,61179,22855,1102,2658,1290,18434,810,14191,1407,7908,1085,4475,832,6975,3606,21692,4008,13679,4156,15786,2336,14922,1914,6806,1261,11059,2813,11540,1690,13006,2448
8,18,P8,541787,1098819,1520435,539553,594559,26527,2822,2758,1722,29306,56455,23640,54821,50003,42548,1745539,1977702,2008019,1852,1086,1761,3689,2793,2912,1289616,191407,923911,332119,1952520,52571,1812362,282,1404429,381,2158553,571,2851044,788,2883068,794,3682939,393,517035,31432,475323,22956,398543,20185,2568216,59334,2930228,21298,4328514,95205,137742,129,92456,514,137114,1411,3149809,1567,2671940,787,3368640,1150,483314,567,535722,1233,326369,379,2948,28645,20302,25282,4264,31074,88334,153521,238168,203136,301046,281997,23034,5570,13231,22400,9227,2461,341628,3353,265831,1150,296267,2673,3444,901,7043,979,6467,585,2635,2823,2159,3058,1318,7902,588,248225,664,176680,190,264029,1422,506165,1700,455372,1142,877151,732,5365,434,5056,342,3756,1154,1795,2934,2743,2418,2609,52456,23900,111609,3959,42747,26276,49212,3846,110051,9233,47581,40444,4910,10951,6137,18880,4060,13311,39979,10138,16368,5739,30221,8717,430993,94906,632049,62533,426287,70199,33205,471,35368,922,34632,738,3559,375,5810,453,11854,962,69666,13405,150985,11342,216170,12178,15519,585,21695,4108,10979,684,9424,3873,12912,3708,15775,4315
10,22,P10,698054,1366688,1820948,719572,835007,11869,3812,4461,6440,57520,75668,73341,57107,50549,44811,1128725,1077626,1164579,1409,860,1769,1919,2146,3056,1325138,368553,783893,743243,1687760,86002,1589626,669,1680843,669,1639915,281,3149604,1584,2726142,1,2714307,784,622371,40394,614974,31325,513589,28577,3033897,40798,2768889,26083,3320645,99148,98853,620,75330,1134,111808,571,2966793,1,2574183,393,3131408,793,361924,569,636130,482,561878,190,2682,41465,34666,23750,3606,38264,254375,625501,330291,554873,495048,424515,24709,7305,7150,4328,8843,2323,1009411,4927,911352,3763,203844,1539,3197,2558,3708,960,1659,447,2012,11588,3844,7781,1882,18437,541,241968,284,224383,383,233865,1323,561946,1332,510810,1,946201,234,6924,429,6740,544,6943,1599,4923,2271,2749,1475,3653,50683,212158,72160,19217,34100,119348,84696,3959,83141,9805,49806,56865,3768,19069,3000,13533,3528,13187,17634,5276,18641,9536,20624,8673,790875,46754,707863,36473,723669,76620,36781,434,45080,581,42666,196,15490,969,69795,1036,271289,1725,132062,12461,212583,10385,344914,14349,55687,2727,133082,10094,52217,2412,13877,4721,14278,4706,13715,5053
12,26,P12,463213,1189445,1779682,1245063,1171130,73449,707,3603,4149,78308,71502,84150,98469,100788,76220,1419796,1100388,934271,2139,2629,1585,879,1368,821,1730225,452564,1071423,743779,2013844,96957,1809938,448,1553860,193,1859037,258,2484921,388,3552768,1178,2904362,787,781108,63045,601190,40585,535481,32850,2344807,54195,2780446,28043,3278240,101858,226889,948,130166,380,143681,1198,2680587,1180,2081726,397,2828954,787,499440,1,792975,1,1065045,773,16376,81014,193944,23640,4037,34600,283989,451901,406831,618331,439343,492668,39755,5841,6776,2622,6910,1740,938578,7996,1109887,2739,207783,6756,20108,1511,6137,945,8246,193,877,13726,2852,9954,2883,28823,368,243596,272,261016,190,194742,1387,550399,764,569790,959,811374,432,7563,705,9117,704,8556,1354,7683,5767,7536,2000,9458,19252,393277,95819,182327,16109,473425,63140,3138,56701,21016,51847,213322,4057,16419,2743,15368,3205,14930,17864,17404,20624,8673,16249,8767,661364,27360,621318,25377,663548,31767,41863,626,46724,576,56740,583,285332,2246,621269,4164,991667,2975,254509,14916,474575,14160,630276,10951,635224,3736,621158,9577,670306,1700,10417,5436,8800,3883,10352,5694
14,30,P14,576541,1410059,1997830,1349012,1171130,65980,7525,3673,2150,34274,114987,82847,80395,85857,96257,1664802,1023228,1233359,1289,8973,1647,1074,1,1171,1801465,525900,977439,637008,1803834,105435,1750560,320,1488227,391,1686729,324,2312306,393,2896793,1191,2682620,1,705793,66157,721981,56473,515857,53826,2223451,40263,2416297,24213,2544378,71944,284445,189,151319,851,239954,565,2432771,1573,1932796,1175,2203215,1570,629005,189,859420,289,883075,959,85715,52379,367758,15312,13927,55420,296250,638166,486231,954447,476078,581654,34588,13378,10134,38531,4243,1366,1004963,1130,1058466,1342,170138,813,223026,7022,10977,500,8545,256,1847,9523,3560,8339,3024,19115,272,218070,267,225246,190,189185,561,554206,1150,666803,576,771524,431,10095,431,7033,118,5563,2732,9460,6193,8868,1663,10944,14931,351239,36865,294911,15688,375698,52847,17225,102110,102110,42355,518839,4143,16788,4067,10456,3236,11711,31050,14414,9304,13456,37106,9661,570704,21373,580203,27309,546166,28497,58105,231,48083,646,70908,195,860974,2488,474478,1629,829876,1432,326949,11780,636148,10951,627257,9724,1041866,3199,608039,10869,1113415,2970,9875,6455,11059,8310,15658,10999
16,34,P15,783013,1623394,2078353,1097303,1174563,53339,1256,4310,3949,65549,110117,62897,68630,81831,76082,1495336,978178,1187784,1529,15350,1715,287,1,974,1578840,449547,927920,635373,1864463,122988,714203,1,1396862,130,1329034,1,1348959,782,2290535,1081,2904362,1,770610,83533,780660,63648,667273,67678,2350057,25213,2056152,22468,1819217,222945,372885,287,205031,851,282248,567,2057438,1217,1507628,1965,1879232,785,865808,95,867004,95,1098217,96,310080,41471,666710,11204,80525,42916,352343,865098,314316,935228,513129,682207,24154,24079,19461,212639,4544,2492,886075,959,1010803,664,145534,1394,356107,5786,67023,1323,7570,260,1659,7120,2191,6523,2775,27062,1,219912,272,196416,95,206091,1323,648215,764,709078,384,846684,391,11063,353,10173,157,9831,2585,13069,7336,10546,4893,23469,7521,262794,13061,214114,15268,327257,51375,19609,84864,158726,24477,838864,3999,14025,2389,18007,5565,17081,10816,15667,2838,12420,23230,19780,467476,9914,459492,15436,407814,23574,64209,286,59506,259,59444,193,733294,2005,348469,1606,685457,1036,741586,9501,693068,6371,831296,4328,980641,3481,511342,9164,1364910,2758,13038,9617,16693,9188,25823,16556
